PSS	Panini Special Sticker	Panini Special Sticker (PSS)
1	Official logo	Glitter - Official Logo (puzzle)
2	Official logo	Glitter - Official Logo (puzzle)
3	Official mascots	Glitter - Official Mascot
4	Official slogan	Glitter - Official Slogan
5	UEFA Respect	Glitter - UEFA Respect
6	Gdańsk	Sticker - Venues
7	Poznań	Sticker - Venues
8	Arena Gdańsk	Stadium Sticker (puzzle)
9	Arena Gdańsk	Stadium Sticker (puzzle)
10	Stadion Miejski w Poznaniu	Stadium Sticker (puzzle)
11	Stadion Miejski w Poznaniu	Stadium Sticker (puzzle)
12	Warszawa	Sticker - Venues
13	Wrocław	Sticker - Venues
14	Stadion Narodowy w Warszawie	Stadium Sticker (puzzle)
15	Stadion Narodowy w Warszawie	Stadium Sticker (puzzle)
16	Stadion we Wrocławiu	Stadium Sticker (puzzle)
17	Stadion we Wrocławiu	Stadium Sticker (puzzle)
18	Donetsk	Sticker - Venues
19	Kharkiv	Sticker - Venues
20	Donbass Arena	Stadium Sticker (puzzle)
21	Donbass Arena	Stadium Sticker (puzzle)
22	Stadion «Metalist»	Stadium Sticker (puzzle)
23	Stadion «Metalist»	Stadium Sticker (puzzle)
24	Kyiv	Sticker - Venues
25	Lviv	Sticker - Venues
26	NSK «Olimpiyskiy»	Stadium Sticker (puzzle)
27	NSK «Olimpiyskiy»	Stadium Sticker (puzzle)
28	Arena Lviv	Stadium Sticker (puzzle)
29	Arena Lviv	Stadium Sticker (puzzle)
30	Razem Tworzymy przyszłość	Sticker - Creating history together
31	ΜΑΖΙ ΔΗΜΙΟΥΡΓΟΥΜΕ ΙΣΤΟΡΙΑ	Sticker - Creating history together
32	Создаем историю вместе	Sticker - Creating history together
33	Společně tvořená historie	Sticker - Creating history together
34	Samen Geschiedenis Schrijven	Sticker - Creating history together
35	Sammen skriver vi historie	Sticker - Creating history together
36	Gemeinsam Geschichte Schreiben	Sticker - Creating history together
37	Criando História Juntos	Sticker - Creating history together
38	Creando historia juntos	Sticker - Creating history together
39	Scrivendo la storia insieme	Sticker - Creating history together
40	Creating History Together	Sticker - Creating history together
41	Zajedno stvaramo povijest	Sticker - Creating history together
42	Творимо історію разом	Sticker - Creating history together
43	Skapa historia tillsammans	Sticker - Creating history together
44	Ensemble Écrivons l'histoire	Sticker - Creating history together
45	Creating History Together	Sticker - Creating history together
46	Official ball	Sticker - Official ball
47	Trophy	Glitter - Trophy (puzzle)
48	Trophy	Glitter - Trophy (puzzle)
49	Polska	Glitter - Official Mascot (Team)
50	Polska	Glitter - Badge
51	Polska	Team Sticker (puzzle)
52	Polska	Team Sticker (puzzle)
53	Polska	Team Sticker (puzzle)
54	Polska	Team Sticker (puzzle)
55	Wojciech Szczęsny	Player Sticker
56	Łukasz Fabiański	Player Sticker
57	Arkadiusz Głowacki	Player Sticker
58	Damien Perquis	Player Sticker
59	Łukasz Piszczek	Player Sticker
60	Marcin Wasilewski	Player Sticker
61	Grzegorz Wojtkowiak	Player Sticker
62	Tomasz Jodłowiec	Player Sticker
63	Jakub Wawrzyniak	Player Sticker
64	Dariusz Dudka	Player Sticker
65	Jakub Błaszczykowski	Player Sticker
66	Rafał Murawski	Player Sticker
67	Eugen Polanski	Player Sticker
68	Maciej Rybus	Player Sticker
69	Adam Matuszczyk	Player Sticker
70	Adrian Mierzejewski	Player Sticker
71	Ludovic Obraniak	Player Sticker
72	Sławomir Peszko	Player Sticker
73	Paweł Brożek	Player Sticker
74	Robert Lewandowski	Player Sticker
75	Jakub Błaszczykowski	Sticker - In action
76	Sławomir Peszko	Sticker - In action
77	Robert Lewandowski	Sticker - In action
78	Hellas	Glitter - Official Mascot (Team)
79	Hellas	Glitter - Badge
80	Hellas	Team Sticker (puzzle)
81	Hellas	Team Sticker (puzzle)
82	Hellas	Team Sticker (puzzle)
83	Hellas	Team Sticker (puzzle)
84	Alexandros Tzorvas	Player Sticker
85	Michalis Sifakis	Player Sticker
86	Avraam Papadopoulos	Player Sticker
87	Sokratis Papastathopoulos	Player Sticker
88	Loukas Vyntra	Player Sticker
89	José Holebas	Player Sticker
90	Kyriakos Papadopoulos	Player Sticker
91	Nikos Spyropoulos	Player Sticker
92	Vassilis Torossidis	Player Sticker
93	Alexandros Tziolis	Player Sticker
94	Giorgos Karagounis	Player Sticker
95	Kostas Katsouranis	Player Sticker
96	Panagiotis Kone	Player Sticker
97	Giannis Fetfatzidis	Player Sticker
98	Giorgos Fotakis	Player Sticker
99	Sotiris Ninis	Player Sticker
100	Angelos Charisteas	Player Sticker
101	Dimitris Salpingidis	Player Sticker
102	Fanis Gekas	Player Sticker
103	Giorgos Samaras	Player Sticker
104	Vassilis Torossidis	Sticker - In action
105	Giorgos Karagounis	Sticker - In action
106	Fanis Gekas	Sticker - In action
107	Rossija	Glitter - Official Mascot (Team)
108	Rossija	Glitter - Badge
109	Rossija	Team Sticker (puzzle)
110	Rossija	Team Sticker (puzzle)
111	Rossija	Team Sticker (puzzle)
112	Rossija	Team Sticker (puzzle)
113	Igor Akinfeev	Player Sticker
114	Vyacheslav Malafeev	Player Sticker
