1	[PSS]	 SPE	Panini PSS	74.0	 (4.2)
2	[1]	 SPE	Offizielles Logo	62.2	 (3.9)
3	[2]	 SPE	Offizielles Logo	65.2	 (3.9)
4	[3]	 SPE	Offizielle Maskottchen	84.7	 (3.8)
5	[4]	 SPE	Offizieller Slogan	79.5	 (3.6)
6	[5]	 SPE	UEFA Respect	72.8	 (4.1)
7	[6]	 STA	Danzig	50.3	 (3.0)
8	[7]	 STA	Posen	70.0	 (3.2)
9	[8]	 STA	Arena Gdansk	54.2	 (3.1)
10	[9]	 STA	Arena Gdansk	60.8	 (3.1)
11	[10]	 STA	Städtisches Stadion	50.7	 (3.2)
12	[11]	 STA	Städtisches Stadion	49.2	 (3.6)
13	[12]	 STA	Warschau	63.2	 (3.1)
14	[13]	 STA	Breslau	62.3	 (2.8)
15	[14]	 STA	Nationalstadion	51.5	 (3.0)
16	[15]	 STA	Nationalstadion	59.8	 (2.9)
17	[16]	 STA	Städtisches Stadion	47.2	 (2.9)
18	[17]	 STA	Städtisches Stadion	57.5	 (3.0)
19	[18]	 STA	Donezk	48.7	 (3.1)
20	[19]	 STA	Charkiw	68.9	 (2.7)
21	[20]	 STA	Donbas Arena	57.3	 (2.4)
22	[21]	 STA	Donbas Arena	53.6	 (2.9)
23	[22]	 STA	Metalist Stadium	50.9	 (2.6)
24	[23]	 STA	Metalist Stadium	59.6	 (2.7)
25	[24]	 STA	Kiew	60.2	 (3.4)
26	[25]	 STA	Lemberg	53.7	 (3.0)
27	[26]	 STA	Olympiastadion Kiew	55.8	 (3.1)
28	[27]	 STA	Olympiastadion Kiew	67.7	 (2.6)
29	[28]	 STA	Arena Lviv	60.8	 (2.7)
30	[29]	 STA	Arena Lviv	62.4	 (2.7)
31	[30]	 GES	Polen	61.2	 (1.9)
32	[31]	 GES	Griechenland	55.2	 (1.6)
33	[32]	 GES	Russland	57.8	 (1.5)
34	[33]	 GES	Tschechien	56.0	 (1.4)
35	[34]	 GES	Niederlande	57.5	 (1.8)
36	[35]	 GES	Dänemark	56.6	 (1.9)
37	[36]	 GES	Deutschland	65.2	 (2.1)
38	[37]	 GES	Portugal	60.7	 (1.6)
39	[38]	 GES	Spanien	56.6	 (1.6)
40	[39]	 GES	Italien	53.8	 (1.9)
41	[40]	 GES	Republik Irland	59.6	 (1.4)
42	[41]	 GES	Kroatien	54.2	 (2.1)
43	[42]	 GES	Ukraine	56.2	 (1.3)
44	[43]	 GES	Schweden	54.9	 (2.0)
45	[44]	 GES	Frankreich	52.2	 (1.7)
46	[45]	 GES	England	46.1	 (2.0)
47	[46]	 SPI	Offizieller Ball	57.9	 (3.1)
48	[47]	 SPI	Pokal	71.1	 (2.1)
49	[48]	 SPI	Pokal	77.7	 (3.2)
50	[49]	 POL	Maskottchen	58.9	 (2.3)
51	[50]	 POL	Wappen	70.8	 (3.2)
52	[51]	 POL	Team	56.7	 (2.6)
53	[52]	 POL	Team	56.6	 (2.6)
54	[53]	 POL	Team	57.2	 (2.6)
55	[54]	 POL	Team	61.3	 (2.6)
56	[55]	 POL	Wojciech Szczesny	17.4	 (2.7)
57	[56]	 POL	Lukasz Fabianski	52.1	 (2.6)
58	[57]	 POL	Arkadiusz Glowacki	50.6	 (3.0)
59	[58]	 POL	Damien Perquis	45.8	 (2.6)
60	[59]	 POL	Lukasz Piszczek	55.1	 (2.6)
61	[60]	 POL	Marcin Wasilewski	17.5	 (2.6)
62	[61]	 POL	Grzegorz Wojtkowiak	51.2	 (3.0)
63	[62]	 POL	Tomasz Jodlowiec	54.0	 (2.6)
64	[63]	 POL	Jakub Wawrzyniak	59.2	 (2.6)
65	[64]	 POL	Dariusz Dudka	57.1	 (2.6)
66	[65]	 POL	Jakub Blaszczykowski	14.8	 (3.0)
